,GENE NAME,GENE ID
189,ACSL4,ENSG00000068366
190,ACSL5,ENSG00000197142
191,ACSL6,ENSG00000164398
192,ACSM1,ENSG00000166743
193,ACSM2A,ENSG00000183747
194,ACSM2B,ENSG00000066813
195,ACSM3,ENSG00000005187
196,ACSM4,ENSG00000215009
197,ACSM5,ENSG00000183549
198,ACSM6,ENSG00000173124
199,ACSS1,ENSG00000154930
200,ACSS2,ENSG00000131069
201,ACSS3,ENSG00000111058
202,ACTA1,ENSG00000143632
203,ACTA2,ENSG00000107796
204,ACTB,ENSG00000075624
205,ACTBL2,ENSG00000169067
206,ACTC1,ENSG00000159251
207,ACTG1,ENSG00000184009
208,ACTG2,ENSG00000163017
209,ACTL6A,ENSG00000136518
210,ACTL6B,ENSG00000077080
211,ACTL7A,ENSG00000187003
212,ACTL7B,ENSG00000148156
213,ACTL8,ENSG00000117148
214,ACTL9,ENSG00000181786
215,ACTL10,ENSG00000288649
216,ACTMAP,ENSG00000188493
217,ACTN1,ENSG00000072110
218,ACTN2,ENSG00000077522
219,ACTN3,ENSG00000248746
220,ACTN4,ENSG00000130402
221,ACTR1A,ENSG00000138107
222,ACTR1B,ENSG00000115073
223,ACTR2,ENSG00000138071
224,ACTR3,ENSG00000115091
225,ACTR3B,ENSG00000133627
226,ACTR3C,ENSG00000106526
227,ACTR5,ENSG00000101442
228,ACTR6,ENSG00000075089
229,ACTR8,ENSG00000113812
230,ACTR10,ENSG00000131966
231,ACTRT1,ENSG00000123165
232,ACTRT2,ENSG00000169717
233,ACTRT3,ENSG00000184378
234,ACVR1,ENSG00000115170
235,ACVR1B,ENSG00000135503
236,ACVR1C,ENSG00000123612
237,ACVR2A,ENSG00000121989
238,ACVR2B,ENSG00000114739
239,ACVRL1,ENSG00000139567
240,ACY1,ENSG00000243989
241,ACY3,ENSG00000132744
242,ACYP1,ENSG00000119640
243,ACYP2,ENSG00000170634
244,ADA,ENSG00000196839
245,ADA2,ENSG00000093072
246,ADAD1,ENSG00000164113
247,ADAD2,ENSG00000140955
248,ADAL,ENSG00000168803
249,ADAM2,ENSG00000104755
250,ADAM7,ENSG00000069206
251,ADAM8,ENSG00000151651
252,ADAM9,ENSG00000168615
253,ADAM10,ENSG00000137845
254,ADAM11,ENSG00000073670
255,ADAM12,ENSG00000148848
256,ADAM15,ENSG00000143537
257,ADAM17,ENSG00000151694
258,ADAM18,ENSG00000168619
259,ADAM19,ENSG00000135074
260,ADAM20,ENSG00000134007
261,ADAM21,ENSG00000139985
262,ADAM22,ENSG00000008277
263,ADAM23,ENSG00000114948
264,ADAM28,ENSG00000042980
265,ADAM29,ENSG00000168594
266,ADAM30,ENSG00000134249
