,GENE NAME,GENE ID
15646,SPESP1,ENSG00000258484
15647,SPG7,ENSG00000197912
15648,SPG11,ENSG00000104133
15649,SPG21,ENSG00000090487
15650,SPHK1,ENSG00000176170
15651,SPHK2,ENSG00000063176
15652,SPHKAP,ENSG00000153820
15653,SPI1,ENSG00000066336
15654,SPIB,ENSG00000269404
15655,SPIC,ENSG00000166211
15656,SPICE1,ENSG00000163611
15657,SPIDR,ENSG00000164808
15658,SPIN1,ENSG00000106723
15659,SPIN2A,ENSG00000147059
15660,SPIN2B,ENSG00000186787
15661,SPIN3,ENSG00000204271
15662,SPIN4,ENSG00000186767
15663,SPINDOC,ENSG00000168005
15664,SPINK1,ENSG00000164266
15665,SPINK2,ENSG00000128040
15666,SPINK4,ENSG00000122711
15667,SPINK5,ENSG00000133710
15668,SPINK6,ENSG00000178172
15669,SPINK7,ENSG00000145879
15670,SPINK8,ENSG00000229453
15671,SPINK9,ENSG00000204909
15672,SPINK13,ENSG00000214510
15673,SPINK14,ENSG00000196800
15674,SPINT1,ENSG00000166145
15675,SPINT2,ENSG00000167642
15676,SPINT3,ENSG00000101446
15677,SPINT4,ENSG00000149651
15678,SPIRE1,ENSG00000134278
15679,SPIRE2,ENSG00000204991
15680,SPN,ENSG00000197471
15681,SPNS1,ENSG00000169682
15682,SPNS2,ENSG00000183018
15683,SPNS3,ENSG00000182557
15684,SPO11,ENSG00000054796
15685,SPOCD1,ENSG00000134668
15686,SPOCK1,ENSG00000152377
15687,SPOCK2,ENSG00000107742
15688,SPOCK3,ENSG00000196104
15689,SPON1,ENSG00000262655
15690,SPON2,ENSG00000159674
15691,SPOP,ENSG00000121067
15692,SPOPL,ENSG00000144228
15693,SPOUT1,ENSG00000198917
15694,SPP1,ENSG00000118785
15695,SPP2,ENSG00000072080
15696,SPPL2A,ENSG00000138600
15697,SPPL2B,ENSG00000005206
15698,SPPL2C,ENSG00000185294
15699,SPPL3,ENSG00000157837
15700,SPR,ENSG00000116096
15701,SPRED1,ENSG00000166068
15702,SPRED2,ENSG00000198369
15703,SPRED3,ENSG00000188766
15704,SPRING1,ENSG00000111412
15705,SPRN,ENSG00000203772
15706,SPRR1A,ENSG00000169474
15707,SPRR1B,ENSG00000169469
15708,SPRR2A,ENSG00000241794
